course,block,bloom_level,citation_mode,question_type,model_id,language,question_number,question,answer,rubric_answer,rubric,time_taken_s,status
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 4,off,Short Answer,ollama-gemma4-31b,en,1,"Examine the socio-economic structure of the city of Puhar as depicted in the Cilappatikaran, focusing on the relationship between its urban layout and its commercial prosperity.","The city of Puhar is depicted as a sophisticated global trade hub, where its commercial prosperity is intrinsically linked to its strategic location and urban organization. The presence of diverse luxury commodities such as flawless pearls, gems, gold, and fine silks, alongside the mention of traders from distant lands, indicates a highly integrated maritime economy. This economic vibrancy is reflected in the city's layout, which features a structured market square and a 'Kingsway,' facilitating the movement of goods and the convergence of international merchants, mirroring the detailed cataloging found in Greek epics.

Furthermore, the socio-economic stratification of Puhar is evident in its meticulous urban zoning. The city is divided into specialized quarters based on occupation, with separate streets for physicians, astronomers, bards, and weavers, as well as distinct areas for the landed gentry and princes in the suburbs. This spatial distribution reveals a complex social hierarchy where professional identity dictates residential location. By blending the dwellings of high-ranking officials with the bustling shops of artisans and peddlers, the epic presents Puhar as a microcosm of a flourishing urban society where economic specialization and social order coexist.",,"[Marks]
Analysis of the link between commercial goods/trade and economic prosperity - 4 marks
Analysis of urban layout and occupational zoning as a reflection of social structure - 4 marks
Clarity of argument and overall synthesis - 2 marks

[Key Points]
1. Mention of luxury goods (gold, pearls, gems, silk) as indicators of wealth.
2. Reference to international trade and foreign merchants.
3. Identification of occupational zoning (separate streets for bards, physicians, weavers, etc.).
4. Discussion on social hierarchy (distinction between the landed gentry/princes and common artisans).
5. Recognition of Puhar as a planned urban center serving as a trade emporium.",66.1,success
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 4,off,Short Answer,ollama-gemma4-31b,en,1,Analyze the socio-economic structure of Puhar as depicted through its urban layout and the description of its markets in the Cilappatikaran.,"The socio-economic structure of Puhar is characterized by immense prosperity and a sophisticated global trade network. The city served as a major port for the early Cholas, facilitating trade with distant lands, including Roman trade as evidenced by references to Khaberis and Kaveris Emporium. The markets were hubs of luxury and diversity, dealing in high-value commodities such as silks, gold, flawless pearls, coral, and sandalwood. This abundance suggests a thriving mercantile economy where the city acted as a cosmopolitan center, integrating foreign traders with local commerce, mirroring the detailed cataloguing found in Greek epics.

Furthermore, the urban layout of Puhar reveals a highly organized and stratified social order. The city was meticulously zoned, with specific streets dedicated to various professional guilds and occupations, including physicians, astronomers, bards, and goldsmiths. The spatial distribution further distinguishes social classes, as the suburbs were reserved for princes and the landed gentry, while the city center featured the Kingsway and the market square. This systematic arrangement of dwelling spaces based on occupation and status indicates a complex urban administration and a society where professional identity and social hierarchy were deeply intertwined with the city's physical geography.",,"[Marks]
Analysis of economic prosperity and international trade links - 4 marks
Analysis of urban zoning and its reflection of social stratification - 4 marks
Clarity of expression and structural coherence of the argument - 2 marks

[Key Points]
1. Mention of Puhar as a prosperous Chola port with global trade (e.g., Roman trade/Khaberis).
2. Identification of luxury goods traded (silks, pearls, gems, gold).
3. Discussion on the occupational zoning of streets (separate areas for bards, physicians, etc.).
4. Explanation of the social hierarchy reflected in the layout (suburbs for gentry vs. professional quarters).
5. Reference to the city's role as an 'urban epic' setting reflecting collective memory.",44.6,success
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 3,off,Short Answer,ollama-gemma4-31b,en,1,Apply the specific details of Poompuhar's urban organization and commercial activity to demonstrate how the city serves as a microcosm of the early Chola socio-economic structure.,"Poompuhar's urban organization reflects a highly structured socio-economic hierarchy through its specialized zoning. The city is divided into distinct residential and professional quarters, where separate streets are designated for various occupational groups such as physicians, astronomers, bards, weavers, and musicians. The spatial distribution further emphasizes social stratification, with the suburbs housing the princes and landed gentry, while the city center contains the Kingsway, the market square, and the mansions of merchant princes, indicating a clear division between the ruling elite, the professional middle class, and the working artisans.

Economically, the city functions as a global trade hub, evidenced by the presence of traders from distant lands and the vast array of luxury commodities. The mention of silks, coral, sandalwood, pearls, gems, and gold piled high in commodious streets, alongside the bustling activity of peddlers and hawkers selling everything from pastry to fragrant perfumes, illustrates a flourishing mercantile economy. This detailed cataloging of trades and commodities demonstrates that Poompuhar was not merely a political capital but a vibrant commercial center driven by guilds and international maritime trade, distinguishing it as an urban epic centered on the lives of common men and merchants.",,"[Marks]
Ability to apply urban layout details (zoning, professional streets, and residential divisions) to explain social stratification. - 4 marks
Ability to apply commercial details (trade goods and foreign merchants) to demonstrate economic prosperity. - 4 marks
Overall coherence and logical flow of the socio-economic argument. - 2 marks

[Key Points]
1. Mention of separate streets for professionals (physicians, astronomers, etc.).
2. Distinction between suburbs (princes/gentry) and city center (Kingsway/merchants).
3. Reference to luxury trade items like silks, pearls, and gems.
4. Identification of Poompuhar as a global port city with foreign traders.
5. Connection between the urban setting and the concept of a mercantile/urban epic.",50.7,success
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 3,off,Short Answer,ollama-gemma4-31b,en,1,"How does the detailed spatial layout of Puhar, as described in the Cilappatikaran, serve as evidence of the city's functioning as a sophisticated commercial and administrative hub?","The spatial organization of Puhar reveals a highly structured urban plan that reflects its role as a primary administrative and commercial center. The city is divided into distinct functional zones, with the Kingsway, the flagged car street, and the market square forming the administrative core. The separation of residential areas—where the suburbs housed princes and the landed gentry, while specific streets were designated for professionals such as physicians, astronomers, and astrologers—demonstrates a sophisticated level of urban zoning and social stratification designed to maintain order and efficiency within the capital.

Furthermore, the city's commercial vitality is evidenced by the specialized quarters for artisans and the variety of trade. The existence of dedicated weaver's quarters and streets for gem-borers and conch polishers indicates a developed industrial base. This is complemented by the presence of diverse commodities such as silk, pearls, gold, and sandalwood, and the arrival of traders from distant lands. The vivid cataloguing of peddlers and vendors selling everything from pastry to fine ornaments illustrates a bustling, cosmopolitan economy where the city's layout was specifically designed to facilitate large-scale maritime trade and local consumption.",,"[Marks]
Ability to link specific spatial layouts (e.g., Kingsway, professional streets) to administrative sophistication. - 4 marks
Ability to apply the list of trades and commodities to prove the city's status as a commercial hub. - 4 marks
Clarity of expression and logical flow of the argument. - 2 marks

[Key Points]
1. Mention of the Kingsway and market square as administrative markers.
2. Reference to professional zoning (e.g., streets for physicians, bards, and weavers).
3. Identification of the suburbs as residences for the elite (princes and landed gentry).
4. Connection between the variety of luxury goods (silk, gold, gems) and the city's role as a global port.
5. Observation of the cosmopolitan nature of the city through the presence of foreign traders.",55.4,success
BEGC 101_ Indian Classical Literature,BLOCK KALIDASA ABHIJNANA SHAKUNTALA,Level 4,off,Short Answer,ollama-gemma4-31b,en,1,"Analyze the differences between the portrayal of Shakuntala in the original epic and Kalidasa's play, specifically regarding her response to Duhsanta's rejection. How does this shift in behavior contribute to her characterization as an ideal woman?","In the original epic, Shakuntala is depicted as a more assertive and resilient figure. She arrives at the royal court with her son and, upon being rejected, actively fights for her rights and those of her child. She employs the Law to counter Duhsanta's insults and lies, asserting that her son will reign sovereign. This version of the character is validated by a heavenly voice, ensuring her immediate acceptance by the King.

In contrast, Kalidasa's play modifies this dynamic to elevate Shakuntala's status as a pious woman. In the play, she arrives before the birth of her son and, despite asserting her truthfulness, is rejected by both Duhsanta and her ascetic companions. Rather than fighting for her rights as her epic counterpart does, she suffers this humiliation with dignity and remains steadfast in her love. This shift transforms her into the ideal 'pativrata stri,' where her virtue is defined by her loyalty, patience, and endurance in the face of suffering, ultimately celebrating her as an exemplary wife and mother.",,"[Marks]
Accurate comparison of Shakuntala's actions in the epic versus the play (assertiveness vs. dignity/suffering). - 5 marks
Analysis of how these differences establish her as the 'pativrata stri' or the ideal virtuous woman. - 5 marks

[Key Points]
1. Epic Shakuntala: quotes the Law, fights for her son, validated by a heavenly voice.
2. Play Shakuntala: arrives before the son's birth, rejected by all, suffers with dignity.
3. The concept of 'pativrata stri' (the ideal, faithful wife).
4. The transition from a figure of legal struggle to a figure of moral and spiritual virtue.",61.2,success
BEGC 101_ Indian Classical Literature,BLOCK KALIDASA ABHIJNANA SHAKUNTALA,Level 4,off,Short Answer,ollama-gemma4-31b,en,1,"Analyze the differences between the portrayal of Shakuntala in the original epic and Kalidasa's play, and examine how these changes redefine her characterization.","In the original epic, Shakuntala is depicted as a more assertive figure who arrives at the court with her son. When faced with Duhsanta's rejection and insults, she actively fights for her rights and those of her son, using the Law to counter the King's lies. Her struggle is validated by a heavenly voice, leading to an immediate acceptance by Duhsanta. This version of Shakuntala is characterized by her strength and her ability to argue her case in a public, legalistic manner.

In contrast, Kalidasa's play introduces structural changes, such as the curse and the ring, and depicts Shakuntala arriving at the court before the birth of her son. Unlike her epic counterpart, she is rejected by both Duhsanta and her companions without any immediate divine intervention. By choosing to suffer this humiliation with dignity and remaining faithful to her husband despite the rejection, Shakuntala is elevated to the status of a 'pativrata stri' or an ideal, virtuous wife. The shift from an assertive woman fighting for justice to a pious woman enduring suffering transforms her into a symbol of exemplary feminine virtue and loyalty.",,"[Marks]
Accurate comparison of the events in the epic versus the play (arrival of son, use of Law, heavenly voice) - 4 marks
Analysis of the shift in characterization from an assertive woman to a 'pativrata stri' - 4 marks
Clarity of expression and structural organization of the answer - 2 marks

[Key Points]
1. Epic Shakuntala arrives with her son and uses the Law to fight rejection.
2. Play Shakuntala arrives before the son is born and is rejected by the court.
3. The absence of the heavenly voice in the play forces Shakuntala to endure suffering.
4. The play emphasizes her piety, dignity, and faithfulness as an ideal wife (pativrata stri).",48.1,success
BEGC 101_ Indian Classical Literature,BLOCK KALIDASA ABHIJNANA SHAKUNTALA,Level 3,off,Short Answer,ollama-gemma4-31b,en,1,Apply the concept of the 'pativrata stri' to analyze Shakuntala's response to Duhsanta's rejection in the play. How does her behavior in this scene embody the cultural ideal of a virtuous woman?,"The concept of the 'pativrata stri' refers to the ideal of a virtuous woman defined by her unwavering loyalty, steadfast love, and devotion to her husband. In the context of the play, this ideal is not merely about obedience but about a spiritual and moral fortitude that ennobles the woman, making her an exemplary figure of piety and virtue through her commitment to her marital bond.

When applying this to the scene of her rejection, Shakuntala’s behavior serves as a manifestation of this ideal. Unlike her counterpart in the epic who fights for her rights and quotes the law to counter insults, the Shakuntala of the play suffers the humiliation of Duhsanta's rejection with quiet dignity. By remaining faithful to her husband even when he fails to recognize her and by enduring her pain without further aggression, she elevates her status from a mere victim to a pious woman. Her loyalty in the face of extreme adversity is what ultimately defines her as the ideal pativrata stri, framing her as a virtuous woman who is both a good wife and mother.",,"[Marks]
Accurate application of the 'pativrata stri' concept to the character's motivations - 4 marks
Analysis of the rejection scene, specifically the contrast in her behavior compared to the epic version - 4 marks
Overall coherence, logical flow, and adherence to the requested paragraph structure - 2 marks

[Key Points]
1. Definition of pativrata stri as steadfast love, loyalty, and virtue
2. Contrast between the play's quiet dignity and the epic's assertiveness/fighting for rights
3. The idea that suffering with dignity and remaining faithful ennobles her status
4. Identification of her as a pious and exemplary woman through her endurance",69.1,success
BEGC 101_ Indian Classical Literature,BLOCK KALIDASA ABHIJNANA SHAKUNTALA,Level 3,off,Short Answer,ollama-gemma4-31b,en,1,"Apply the concept of the 'ideal pativrata stri' to analyze Shakuntala's behavior during the rejection scene in the play, contrasting it with her actions in the original epic.","In the original epic, Shakuntala is depicted as a woman of agency and strength. Upon being rejected by Duhsanta, she does not passively accept her fate; instead, she fights for herself and her son. She utilizes the Law to counter the King's insults and lies, asserting her rights and the sovereignty of her son before the court. Her behavior in the epic is characterized by active resistance and a demand for justice based on legal and moral grounds.

In contrast, Kalidasa's Shakuntala embodies the ideal of the 'pativrata stri'—the devoted and virtuous wife. While she does assert her truthfulness when faced with Duhsanta's rejection, she does not engage in a prolonged fight for her rights. Instead, she accepts the humiliation with dignity and remains steadfast in her love and loyalty to her husband despite the cruelty of the situation. This shift in behavior is a deliberate application of the pativrata ideal, where her nobility is derived from her patience, piety, and unwavering faithfulness.

Ultimately, by moving away from the argumentative nature of the epic counterpart, Kalidasa transforms Shakuntala into an exemplary figure of virtue. Her willingness to suffer in silence and maintain her devotion despite the loss of the ring and the memory of her marriage elevates her status as a pious woman, aligning her character with the specific socio-cultural expectations of a virtuous wife and mother in the play's context.",,"[Marks]
Accurate contrast between the epic Shakuntala's assertiveness and the play's Shakuntala's dignity - 4 marks
Correct application and explanation of the 'pativrata stri' concept to the character's development - 4 marks
Clarity of argument and structural coherence of the response - 2 marks

[Key Points]
1. Epic Shakuntala: Quotes the Law, fights for her son, active resistance.
2. Play Shakuntala: Asserts truth but suffers with dignity, remains faithful despite humiliation.
3. Pativrata stri: Defined by steadfast love, loyalty, and virtue as a wife/mother.
4. The transformation from a legal fighter to a pious sufferer ennobles her status in the play.",54.1,success
BEGC 101_ Indian Classical Literature,BLOCK SUDRAKA MRICHCHHAKATIKA,Level 4,off,Short Answer,ollama-gemma4-31b,en,1,Examine the relationship between the socio-economic landscape of ancient India and the characterization of Charudatta in Mrichchhakatika.,"The socio-economic landscape of the play's setting, Ujjayini, is characterized by a vibrant money economy and a rigid hierarchical structure. While the city thrives on trade, commerce, and the efficiency of artisan guilds, this prosperity is unevenly distributed. The society is divided between a privileged class—comprising the king, high state officials, and wealthy merchants—and a large population of poor laborers and servants who sustain the luxury of the elite. This environment creates a backdrop of instability and social friction, where economic standing determines one's power and security.

Charudatta's characterization serves as a direct reflection of this volatile economic environment. As a Brahman merchant who has fallen from prosperity to extreme poverty, his situation illustrates the precarious nature of wealth in a commercial society. His poverty is depicted as the gravest kind because it entails a significant fall from a high social and economic status, causing profound emotional anguish. By centering the protagonist around the theme of financial decline, the play analyzes the realistic consequences of a money economy, where the transition from wealth to penury is a poignant reality rather than a mere abstract concept.",,"[Marks]
Analysis of the socio-economic environment (money economy, guilds, and hierarchy) - 4 marks
Examination of Charudatta's specific decline and the nature of his poverty - 4 marks
Clarity of argument and logical connection between economy and character - 2 marks

[Key Points]
1. Identification of Ujjayini as a center of trade and money economy.
2. Mention of the hierarchical gap between the privileged and the poor.
3. Explanation of Charudatta as a fallen Brahman merchant.
4. Discussion on how his poverty represents a 'fall from above' and reflects societal instability.",46.0,success
BEGC 101_ Indian Classical Literature,BLOCK SUDRAKA MRICHCHHAKATIKA,Level 4,off,Short Answer,ollama-gemma4-31b,en,1,"Examine how the economic landscape of ancient India, specifically the growth of a money economy and the guild system, is reflected in the realistic portrayal of society within Sudraka's Mrichchhakatika.","The realistic portrayal of society in Mrichchhakatika is deeply rooted in the economic transitions of ancient India, where the growth of a money economy and the proliferation of arts and crafts created a vibrant, energetic urban environment. The influence of the guild system—where artisans and merchants organized themselves into corporations acting as trustees and bankers—is evident in the play's depiction of Ujjayini as a center of trade and commerce. This economic vibrancy is not merely a backdrop but a driving force that facilitates the interaction between various social strata, from high state officials and merchants to the working class of porters, cart drivers, and servants.

Furthermore, the play analyzes the volatility of this economic system through the character of Charudatta. As a Brahman merchant who has fallen from prosperity into grave poverty, Charudatta embodies the risks associated with a money-based economy. His decline highlights the socio-economic instability and the anguish caused by a fall in social status. By grounding the narrative in these material realities—such as the existence of a city jail, the presence of insurgents, and the reliance on service-providing poor populations—Sudraka transforms the play from a simple entertainment into a realistic critique of a hierarchical society ridden with friction and instability.",,"[Marks]
Analysis of the link between the money economy/guild system and the urban setting of the play - 4 marks
Evaluation of how economic instability is manifested through characters like Charudatta - 4 marks
Clarity of argument and structural coherence of the response - 2 marks

[Key Points]
1. Identification of the money economy and guild system as drivers of urban vibrancy.
2. Mention of Ujjayini as a hub of trade and commerce linking cities and villages.
3. Analysis of Charudatta's poverty as a reflection of economic volatility.
4. Recognition of the social hierarchy (merchants, officials, servants) as a result of the economic structure.
5. Connection between realistic art and the actual socio-economic conditions of the period.",45.6,success
