course,block,bloom_level,citation_mode,question_type,model_id,language,question_number,question,answer,rubric_answer,rubric,time_taken_s,status
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""After the destruction of the city of Maturai, the goddess of Maturai tells Kannaki that Kovalan’s beheading by a drunken soldier is due to his karma in his previous birth. Kovalan had beheaded an innocent merchant Cankaman in his previous birth. Kovalan’s death in this birth is due to the curse of Cankaman’s widow."" — Explain the significance of the concept of Karma in relation to the fate of Kovalan in Cilappatikaran.","In Cilappatikaran, Kovalan's execution is presented as an inevitable result of his past actions. The goddess of Maturai reveals that his beheading is a consequence of his karma from a previous birth, where he had beheaded an innocent merchant named Cankaman. Consequently, his death in the present life is the fulfillment of the curse cast by Cankaman's widow, illustrating the cycle of cause and effect.",,"[Marks]
Accurate explanation of the link between Kovalan's death and his previous birth - 2 marks
Mention of the specific victim (Cankaman) and the widow's curse - 2 marks
Clarity and coherence of the interpretation of Karma - 1 marks

[Key Points]
1. Kovalan's death is due to karma from a previous birth
2. He beheaded an innocent merchant named Cankaman
3. The death is a result of the curse of Cankaman's widow",51.9,success
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Therefore, it can be said that Kannaki who subverts patriarchy in Maturai is brought back into its fold through King Cenkuttuvan. Her deification is at the cost of her human identity. She is no longer referred to by her human name, ‘Kannaki’; she is now a Pattini – the goddess of chastity."" — Explain the significance of the transformation of Kannaki into the goddess Pattini as described in the Book of Vanci.","The transformation of Kannaki into the goddess Pattini represents her apotheosis, where she is institutionalized through a temple built by King Cenkuttuvan. While this elevates her to a divine status as the goddess of chastity, it simultaneously erases her human identity and silences the subversive power she displayed in Maturai. Consequently, her deification brings her back into the patriarchal fold, replacing her individual agency with a symbol of wifely duty.",,"[Marks]
Ability to explain the concept of apotheosis and the transition from human to divine identity - 2 marks
Analysis of how deification relates to the restoration of patriarchal norms and the silencing of her power - 2 marks
Clarity of expression and adherence to the specified word limit - 1 marks

[Key Points]
1. Mention of the shift from the human name 'Kannaki' to the divine 'Pattini'
2. Recognition that deification comes at the cost of human identity
3. Understanding that she is brought back into the patriarchal fold
4. Identification of her new role as the epitome of wifely duties and chastity",45.4,success
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Canto 26, “Removing the Stone” uses the Tumpai thinai. This thinai is used for the description of the battle."" — What is the Tumpai thinai, and how is it utilized in Canto 26, 'Removing the Stone'?","The Tumpai thinai is a literary convention used specifically for the description of battle. In Canto 26, 'Removing the Stone,' it is employed to depict the violent and blood-curdling conflict between the Chera king and the Aryan kings of the North. This thinai is characterized by gory imagery, often portraying the king as a famished lion or the god of death during the slaughter.",,"[Marks]
Accurate definition of Tumpai thinai as a tool for battle description - 2 marks
Correct identification of the context in Canto 26 (battle with Aryan kings) - 2 marks
Mention of the characteristic nature of the descriptions (gore/blood-curdling) - 1 marks

[Key Points]
1. Tumpai thinai is used for describing battles
2. Applied in Canto 26 to the king's battle with the Northern Aryan kings
3. Includes gore and imagery of the king as a lion or god of death",58.9,success
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""The king in order to fulfil his promise of building a temple for Kannaki begins an expedition to the north to procure the stone for the idol."" — Who is the king responsible for the deification of Kannaki, and what specific actions did he take to institutionalise her as a goddess?","King Cenkuttuvan is responsible for the deification of Kannaki. To institutionalise her as the goddess Pattini, he embarked on an expedition to the north to procure the stone required for her idol. During this journey, he waged a battle with Aryan kings. He ultimately completed her apotheosis by building her a temple and offering grants to it.",,"[Marks]
Correct identification of King Cenkuttuvan - 1 marks
Mention of the expedition to the north to procure stone for the idol - 2 marks
Mention of the construction of the temple and her apotheosis - 2 marks

[Key Points]
1. Identification of King Cenkuttuvan
2. Expedition to the north for stone
3. Building the temple
4. Institutionalisation/apotheosis as Pattini",41.9,success
BEGC 101_ Indian Classical Literature,BLOCK KALIDASA ABHIJNANA SHAKUNTALA,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""He coaxes her to enter into a Gandharva marriage with him, a marriage “done in secret” with rituals “between a loving man and a loving woman”. Shakuntala agrees on one condition—she asks the King to promise that the son that may be “born from me shall be Young King to succeed you, great King, declare this to me as the truth! If it is to be thus, Duhsanta, you may lie with me”."" — Explain the nature of the marriage between King Duhsanta and Shakuntala and the specific condition she imposed for her consent.","The marriage between King Duhsanta and Shakuntala was a Gandharva marriage, which is characterized as a secret union based on mutual love between a man and a woman. Shakuntala consented to this marriage on the condition that any son born from their union would be recognized as the rightful heir to succeed Duhsanta as the king. This condition underscores her foresight regarding her child's future legitimacy and royal status.",,"[Marks]
Accurate explanation of the Gandharva marriage as a secret, love-based union - 2 marks
Correct identification of the condition regarding the son's succession to the throne - 2 marks
Clarity of expression and adherence to the requested answer length - 1 marks

[Key Points]
1. Gandharva marriage is defined as a secret union between a loving man and woman.
2. Shakuntala's condition is that her son must be the successor to the throne.
3. The answer interprets the meaning of the agreement between the two characters.",56.5,success
BEGC 101_ Indian Classical Literature,BLOCK KALIDASA ABHIJNANA SHAKUNTALA,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Even though Kalidasa was a court poet, he was extremely sensitive to the emotions, feelings of those who lived in humble dwellings, in distant corners of the land, away from the court and where the king resided."" — Discuss how Kalidasa balances his role as a court poet with his portrayal of the common people in his literary works.","Kalidasa functioned as a court poet who enjoyed patronage and focused on lofty subjects and the splendour of royal palaces. However, he balanced this by remaining deeply sensitive to the emotions of simple men and women living in humble dwellings far from the court. He further demonstrated this understanding by critiquing the rigid duty and decorum that often repressed individual passions.",,"[Marks]
Explanation of his role as a court poet and the nature of his lofty subjects - 2 marks
Discussion of his empathy and sensitivity toward common people in humble dwellings - 2 marks
Mention of his critique regarding duty and decorum versus individual passion - 1 marks

[Key Points]
1. Recognition of court patronage and royal themes
2. Sensitivity to the emotions of the marginalized/simple people
3. Critique of social constraints (duty and decorum)",39.1,success
BEGC 101_ Indian Classical Literature,BLOCK KALIDASA ABHIJNANA SHAKUNTALA,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""the women welcome a disguised Duhsanta into their midst, where he learns that Shakuntala is the adopted daughter of the sage Kanva. She is in fact the daughter of the Apsara/celestial nymph, Menaka and the seer Visvamitra."" — Identify the biological parents of Shakuntala and name the sage who adopted her.","Shakuntala is the biological daughter of the celestial nymph Menaka and the seer Visvamitra. Although she has these parents, she was adopted and raised by the sage Kanva. This family background is revealed to Duhsanta during his visit to the hermitage. Her biological lineage is significant as it establishes her Kshatriya origin, making her a suitable bride for the King.",,"[Marks]
Correct identification of biological parents (Menaka and Visvamitra) - 2 marks
Correct identification of adoptive father (Sage Kanva) - 2 marks
Clarity and factual accuracy of the response - 1 marks

[Key Points]
1. Biological father: Visvamitra (the seer)
2. Biological mother: Menaka (the Apsara/celestial nymph)
3. Adoptive father: Sage Kanva",61.6,success
BEGC 101_ Indian Classical Literature,BLOCK KALIDASA ABHIJNANA SHAKUNTALA,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Sanskrit drama does not just include dialogues but also includes subtle gestures and postures, singing, dancing, and miming to bring about a holistic performance and enjoyment of the narrative."" — What elements, other than dialogue, are essential for a holistic performance and enjoyment of a Sanskrit drama according to the text?","In Sanskrit drama, a holistic performance and enjoyment of the narrative require more than just dialogues. The text specifies that subtle gestures and postures are essential components. Additionally, the inclusion of singing, dancing, and miming is necessary. Together, these elements ensure the play is experienced as a complete and integrated artistic performance.",,"[Marks]
Correctly identifying subtle gestures and postures - 2 marks
Correctly identifying singing, dancing, and miming - 2 marks
Mentioning the objective of achieving a holistic performance or enjoyment - 1 marks

[Key Points]
1. Subtle gestures and postures
2. Singing, dancing, and miming
3. Holistic performance/enjoyment of the narrative",46.5,success
BEGC 101_ Indian Classical Literature,BLOCK SUDRAKA MRICHCHHAKATIKA,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Sakara: Kill this Vasantasena? Cheta: Please, master, don’t ask me that! This noble lady was brought here by my unworthy self owing to an interchange of carts. Sakara: You, slave, have I no mastery over you? Cheta: Your Honour is the master of my body, but not of my morals."" — Discuss the significance of the reactions of Vita and Cheta to Sakara's command to kill Vasantasena in Act VIII of Mrichchhakatika.","The reactions of Vita and Cheta signify a transition from their mechanical identities as servants to individuals with distinct moral agency. While Vita appeals to the witness of the divine and nature to refuse the murder, Cheta explicitly asserts that his master's authority extends only to his physical body and not his morals. Their resistance highlights a humanist ethic and the primacy of Dharma over the illegal commands of a powerful authority.",,"[Marks]
Ability to explain the shift from mechanical identity to individual moral agency - 2 marks
Accurate interpretation of the distinction between physical servitude and moral autonomy - 2 marks
Reference to humanist ethics or the concept of Dharma - 1 marks

[Key Points]
1. Servants move beyond simple/mechanical identities to exhibit individuality.
2. Vita's refusal is based on divine witnesses and morality.
3. Cheta differentiates between the mastery of the body and the mastery of morals.
4. The scene reflects humanist ethics and positive notions of Dharma.",45.6,success
BEGC 101_ Indian Classical Literature,BLOCK SUDRAKA MRICHCHHAKATIKA,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""As indicated earlier, it is presented as a mirror in which the passion of the lovers for each other is reflected."" — Discuss the significance of the storm in Act V of the Mrichchhkatika as a reflection of human emotion.","The storm in Act V serves as a symbolic mirror that reflects the intense passion and emotional state of the lovers. While the playwright uses grand descriptions of nature to create a dramatic atmosphere, this representation is fundamentally a human act of imagination. Thus, the storm highlights the intersection between natural phenomena and human experience, showing how nature's impact is primarily registered within the human mind.",,"[Marks]
Ability to explain the storm as a symbolic mirror of the lovers' passion - 2 marks
Understanding that the depiction of nature is a product of human imagination - 2 marks
Clarity and coherence of the explanation - 1 marks

[Key Points]
1. The storm mirrors the passion of the lovers.
2. The natural phenomenon is shaped by human imagination.
3. Nature's impact is registered in the human mind.",47.2,success
BEGC 101_ Indian Classical Literature,BLOCK SUDRAKA MRICHCHHAKATIKA,Level 1,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Increased commercial activity and the consequent growth of a money economy led to the proliferation of arts and crafts. … The increase in trade demanded an efficient organization of production and distribution. Individual artisans congregated together and formed guilds; merchants also organized themselves into corporations. No less than two dozen guilds of artisans existed in this period. The guild system seems to have become the general pattern of production, facilitating high output. … The guilds sometimes acted as trustees and bankers. … The guilds evidently utilized the capital deposited with them to augment production and paid interest on it of the proceeds from the sale of their commodities. The possibility of the increasing output may have prompted the guilds to hire additional labour, both free labour and slaves. This naturally gave a measure of freedom to artisans and craftsmen."" — According to the account by D N Jha, how did commercial activity and the growth of a money economy influence the arts and crafts of the period?","D N Jha states that increased commercial activity and the growth of a money economy led to the proliferation of arts and crafts. To manage the resulting increase in trade, artisans formed guilds and merchants organized into corporations. This guild system became the general pattern of production, facilitating high output and granting a degree of freedom to the artisans and craftsmen.",,"[Marks]
Correctly identifies the link between commercial activity/money economy and the proliferation of arts and crafts - 2 marks
Mentions the formation of guilds and corporations as a means of organizing production and distribution - 2 marks
Notes the outcome of high output or the resulting freedom for artisans - 1 marks

[Key Points]
1. Proliferation of arts and crafts due to money economy
2. Formation of guilds by artisans and corporations by merchants
3. The guild system as the general pattern of production
4. Facilitation of high output and freedom for craftsmen",76.2,success
